Model Name, Product Number, Retail Price, Sale Price, Instalment Fee (12 Months), Stock Availability
OMEN by HP Gaming Laptop 16-n0038AX,6J9F0PA,"RM8,511.00","RM7,599.00",RM633.25,Yes (Same Day Delivery)
Victus by HP Laptop 16-d0303TX,7Q729PA,"RM5,375.00","RM4,799.00",RM399.92,Yes (Same Day Delivery)
Victus by HP Laptop 16-d0321TX,7Q732PA,"RM4,199.00","RM3,749.00",RM312.42,No (Out of Stock)
Victus by HP Laptop 16-d1170TX,72C66PA,"RM6,494.88","RM5,799.00",RM483.25,No (Out of Stock)
Victus by HP Laptop 16-d0324TX,7Q735PA,"RM3,863.00","RM3,449.00",RM287.42,No (Out of Stock)
Victus by HP Laptop 16-d0322TX,7Q733PA,"RM4,199.00","RM3,749.00",RM312.42,No (Out of Stock)
Victus by HP Laptop 16-d0325TX,7Q736PA,"RM3,863.00","RM3,449.00",RM287.42,No (Out of Stock)
Victus by HP Laptop 16-d0320TX,7Q731PA,"RM4,199.00","RM3,749.00",RM312.42,No (Out of Stock)
Victus by HP Laptop 16-d1172TX,729V9PA,"RM6,002.00","RM5,359.00",RM446.58,No (Out of Stock)
Victus by HP Laptop 16-d0323TX,7Q734PA,"RM3,863.00","RM3,449.00",RM287.42,No (Out of Stock)
OMEN by HP Gaming Laptop 16-n0037AX,6J9E9PA,"RM8,623.00","RM7,699.00",RM641.58,No (Out of Stock)
Victus by HP Laptop 16-d0319TX,7Q730PA,"RM5,375.00","RM4,799.00",RM399.92,No (Out of Stock)
